1;2
0 0 2;0 0 0;1 1 1;1 1 1
-0,7772021 0,6282051 0;-0,6730767 0,6282051 0,3886011;-0,6910255 -0,6474359 0,3989637;255 165 0
-0,7772021 0,6282051 0;-0,7979275 -0,6474359 0;-0,6910255 -0,6474359 0,3989637;255 165 0
-0,7979275 -0,6474359 0;-0,6910255 -0,6474359 0,3989637;-0,0269231 -0,6858974 0,01554406;255 165 0
-0,7979275 -0,6474359 0;-0,03108811 -0,6858974 0;-0,0269231 -0,6858974 0,01554406;255 165 0
-0,03108811 -0,6858974 0;-0,0269231 -0,6858974 0,01554406;-0,02243584 -0,5897436 0,01295334;255 165 0
-0,03108811 -0,6858974 0;-0,02590668 -0,5897436 0;-0,02243584 -0,5897436 0,01295334;255 165 0
-0,02590668 -0,5897436 0;-0,02243584 -0,5897436 0,01295334;-0,6192306 -0,5641026 0,357513;255 165 0
-0,02590668 -0,5897436 0;-0,7150259 -0,5641026 0;-0,6192306 -0,5641026 0,357513;255 165 0
-0,7150259 -0,5641026 0;-0,6192306 -0,5641026 0,357513;-0,628205 0,6282051 0,3626943;255 165 0
-0,7150259 -0,5641026 0;-0,7253886 0,6282051 0;-0,628205 0,6282051 0,3626943;255 165 0
-0,6730767 0,6282051 0,3886011;-0,388601 0,6282051 0,6730768;-0,3989637 -0,6474359 0,6910255;255 165 0
-0,6730767 0,6282051 0,3886011;-0,6910255 -0,6474359 0,3989637;-0,3989637 -0,6474359 0,6910255;255 165 0
-0,6910255 -0,6474359 0,3989637;-0,3989637 -0,6474359 0,6910255;-0,01554406 -0,6858974 0,0269231;255 165 0
-0,6910255 -0,6474359 0,3989637;-0,0269231 -0,6858974 0,01554406;-0,01554406 -0,6858974 0,0269231;255 165 0
-0,0269231 -0,6858974 0,01554406;-0,01554406 -0,6858974 0,0269231;-0,01295334 -0,5897436 0,02243585;255 165 0
-0,0269231 -0,6858974 0,01554406;-0,02243584 -0,5897436 0,01295334;-0,01295334 -0,5897436 0,02243585;255 165 0
-0,02243584 -0,5897436 0,01295334;-0,01295334 -0,5897436 0,02243585;-0,3575129 -0,5641026 0,6192306;255 165 0
-0,02243584 -0,5897436 0,01295334;-0,6192306 -0,5641026 0,357513;-0,3575129 -0,5641026 0,6192306;255 165 0
-0,6192306 -0,5641026 0,357513;-0,3575129 -0,5641026 0,6192306;-0,3626943 0,6282051 0,628205;255 165 0
-0,6192306 -0,5641026 0,357513;-0,628205 0,6282051 0,3626943;-0,3626943 0,6282051 0,628205;255 165 0
-0,388601 0,6282051 0,6730768;3,397258E-08 0,6282051 0,7772021;3,487852E-08 -0,6474359 0,7979275;255 165 0
-0,388601 0,6282051 0,6730768;-0,3989637 -0,6474359 0,6910255;3,487852E-08 -0,6474359 0,7979275;255 165 0
-0,3989637 -0,6474359 0,6910255;3,487852E-08 -0,6474359 0,7979275;1,358905E-09 -0,6858974 0,03108811;255 165 0
-0,3989637 -0,6474359 0,6910255;-0,01554406 -0,6858974 0,0269231;1,358905E-09 -0,6858974 0,03108811;255 165 0
-0,01554406 -0,6858974 0,0269231;1,358905E-09 -0,6858974 0,03108811;1,132417E-09 -0,5897436 0,02590668;255 165 0
-0,01554406 -0,6858974 0,0269231;-0,01295334 -0,5897436 0,02243585;1,132417E-09 -0,5897436 0,02590668;255 165 0
-0,01295334 -0,5897436 0,02243585;1,132417E-09 -0,5897436 0,02590668;3,125477E-08 -0,5641026 0,7150259;255 165 0
-0,01295334 -0,5897436 0,02243585;-0,3575129 -0,5641026 0,6192306;3,125477E-08 -0,5641026 0,7150259;255 165 0
-0,3575129 -0,5641026 0,6192306;3,125477E-08 -0,5641026 0,7150259;3,170775E-08 0,6282051 0,7253886;255 165 0
-0,3575129 -0,5641026 0,6192306;-0,3626943 0,6282051 0,628205;3,170775E-08 0,6282051 0,7253886;255 165 0
3,397258E-08 0,6282051 0,7772021;0,3886011 0,6282051 0,6730767;0,3989638 -0,6474359 0,6910255;255 165 0
3,397258E-08 0,6282051 0,7772021;3,487852E-08 -0,6474359 0,7979275;0,3989638 -0,6474359 0,6910255;255 165 0
3,487852E-08 -0,6474359 0,7979275;0,3989638 -0,6474359 0,6910255;0,01554406 -0,6858974 0,0269231;255 165 0
3,487852E-08 -0,6474359 0,7979275;1,358905E-09 -0,6858974 0,03108811;0,01554406 -0,6858974 0,0269231;255 165 0
1,358905E-09 -0,6858974 0,03108811;0,01554406 -0,6858974 0,0269231;0,01295334 -0,5897436 0,02243584;255 165 0
1,358905E-09 -0,6858974 0,03108811;1,132417E-09 -0,5897436 0,02590668;0,01295334 -0,5897436 0,02243584;255 165 0
1,132417E-09 -0,5897436 0,02590668;0,01295334 -0,5897436 0,02243584;0,357513 -0,5641026 0,6192306;255 165 0
1,132417E-09 -0,5897436 0,02590668;3,125477E-08 -0,5641026 0,7150259;0,357513 -0,5641026 0,6192306;255 165 0
3,125477E-08 -0,5641026 0,7150259;0,357513 -0,5641026 0,6192306;0,3626944 0,6282051 0,628205;255 165 0
3,125477E-08 -0,5641026 0,7150259;3,170775E-08 0,6282051 0,7253886;0,3626944 0,6282051 0,628205;255 165 0
0,3886011 0,6282051 0,6730767;0,6730767 0,6282051 0,3886011;0,6910255 -0,6474359 0,3989638;255 165 0
0,3886011 0,6282051 0,6730767;0,3989638 -0,6474359 0,6910255;0,6910255 -0,6474359 0,3989638;255 165 0
0,3989638 -0,6474359 0,6910255;0,6910255 -0,6474359 0,3989638;0,0269231 -0,6858974 0,01554406;255 165 0
0,3989638 -0,6474359 0,6910255;0,01554406 -0,6858974 0,0269231;0,0269231 -0,6858974 0,01554406;255 165 0
0,01554406 -0,6858974 0,0269231;0,0269231 -0,6858974 0,01554406;0,02243584 -0,5897436 0,01295334;255 165 0
0,01554406 -0,6858974 0,0269231;0,01295334 -0,5897436 0,02243584;0,02243584 -0,5897436 0,01295334;255 165 0
0,01295334 -0,5897436 0,02243584;0,02243584 -0,5897436 0,01295334;0,6192306 -0,5641026 0,357513;255 165 0
0,01295334 -0,5897436 0,02243584;0,357513 -0,5641026 0,6192306;0,6192306 -0,5641026 0,357513;255 165 0
0,357513 -0,5641026 0,6192306;0,6192306 -0,5641026 0,357513;0,628205 0,6282051 0,3626944;255 165 0
0,357513 -0,5641026 0,6192306;0,3626944 0,6282051 0,628205;0,628205 0,6282051 0,3626944;255 165 0
0,6730767 0,6282051 0,3886011;0,7772021 0,6282051 -6,794517E-08;0,7979275 -0,6474359 -6,975704E-08;255 165 0
0,6730767 0,6282051 0,3886011;0,6910255 -0,6474359 0,3989638;0,7979275 -0,6474359 -6,975704E-08;255 165 0
0,6910255 -0,6474359 0,3989638;0,7979275 -0,6474359 -6,975704E-08;0,03108811 -0,6858974 -2,717809E-09;255 165 0
0,6910255 -0,6474359 0,3989638;0,0269231 -0,6858974 0,01554406;0,03108811 -0,6858974 -2,717809E-09;255 165 0
