1;2
0 0 2;0 0 0;1 1 1;1 1 1
-0,005181313 0,7628205 0;-0,004487148 0,7628205 0,002590656;-0,5833332 -0,6730769 0,3367876;255 165 0
-0,005181313 0,7628205 0;-0,6735752 -0,6730769 0;-0,5833332 -0,6730769 0,3367876;255 165 0
-0,6735752 -0,6730769 0;-0,5833332 -0,6730769 0,3367876;-0,004487148 -0,6794872 0,002590656;255 165 0
-0,6735752 -0,6730769 0;-0,005181313 -0,6794872 0;-0,004487148 -0,6794872 0,002590656;255 165 0
-0,004487148 0,7628205 0,002590656;-0,002590656 0,7628205 0,004487148;-0,3367876 -0,6730769 0,5833333;255 165 0
-0,004487148 0,7628205 0,002590656;-0,5833332 -0,6730769 0,3367876;-0,3367876 -0,6730769 0,5833333;255 165 0
-0,5833332 -0,6730769 0,3367876;-0,3367876 -0,6730769 0,5833333;-0,002590656 -0,6794872 0,004487148;255 165 0
-0,5833332 -0,6730769 0,3367876;-0,004487148 -0,6794872 0,002590656;-0,002590656 -0,6794872 0,004487148;255 165 0
-0,002590656 0,7628205 0,004487148;2,264824E-10 0,7628205 0,005181313;2,944291E-08 -0,6730769 0,6735752;255 165 0
-0,002590656 0,7628205 0,004487148;-0,3367876 -0,6730769 0,5833333;2,944291E-08 -0,6730769 0,6735752;255 165 0
-0,3367876 -0,6730769 0,5833333;2,944291E-08 -0,6730769 0,6735752;2,264824E-10 -0,6794872 0,005181313;255 165 0
-0,3367876 -0,6730769 0,5833333;-0,002590656 -0,6794872 0,004487148;2,264824E-10 -0,6794872 0,005181313;255 165 0
2,264824E-10 0,7628205 0,005181313;0,002590657 0,7628205 0,004487148;0,3367876 -0,6730769 0,5833332;255 165 0
2,264824E-10 0,7628205 0,005181313;2,944291E-08 -0,6730769 0,6735752;0,3367876 -0,6730769 0,5833332;255 165 0
2,944291E-08 -0,6730769 0,6735752;0,3367876 -0,6730769 0,5833332;0,002590657 -0,6794872 0,004487148;255 165 0
2,944291E-08 -0,6730769 0,6735752;2,264824E-10 -0,6794872 0,005181313;0,002590657 -0,6794872 0,004487148;255 165 0
0,002590657 0,7628205 0,004487148;0,004487148 0,7628205 0,002590657;0,5833332 -0,6730769 0,3367876;255 165 0
0,002590657 0,7628205 0,004487148;0,3367876 -0,6730769 0,5833332;0,5833332 -0,6730769 0,3367876;255 165 0
0,3367876 -0,6730769 0,5833332;0,5833332 -0,6730769 0,3367876;0,004487148 -0,6794872 0,002590657;255 165 0
0,3367876 -0,6730769 0,5833332;0,002590657 -0,6794872 0,004487148;0,004487148 -0,6794872 0,002590657;255 165 0
0,004487148 0,7628205 0,002590657;0,005181313 0,7628205 -4,529647E-10;0,6735752 -0,6730769 -5,888581E-08;255 165 0
0,004487148 0,7628205 0,002590657;0,5833332 -0,6730769 0,3367876;0,6735752 -0,6730769 -5,888581E-08;255 165 0
0,5833332 -0,6730769 0,3367876;0,6735752 -0,6730769 -5,888581E-08;0,005181313 -0,6794872 -4,529647E-10;255 165 0
0,5833332 -0,6730769 0,3367876;0,004487148 -0,6794872 0,002590657;0,005181313 -0,6794872 -4,529647E-10;255 165 0
0,005181313 0,7628205 -4,529647E-10;0,004487148 0,7628205 -0,002590656;0,5833332 -0,6730769 -0,3367876;255 165 0
0,005181313 0,7628205 -4,529647E-10;0,6735752 -0,6730769 -5,888581E-08;0,5833332 -0,6730769 -0,3367876;255 165 0
0,6735752 -0,6730769 -5,888581E-08;0,5833332 -0,6730769 -0,3367876;0,004487148 -0,6794872 -0,002590656;255 165 0
0,6735752 -0,6730769 -5,888581E-08;0,005181313 -0,6794872 -4,529647E-10;0,004487148 -0,6794872 -0,002590656;255 165 0
0,004487148 0,7628205 -0,002590656;0,002590656 0,7628205 -0,004487148;0,3367875 -0,6730769 -0,5833333;255 165 0
