1;2
0 0 2;0 0 0;1 1 1;1 1 1
0 0,8076923 0;0 0,8076923 0;-0,6318761 0,8141026 0,2617317;255 165 0
0 0,8076923 0;-0,6839378 0,8141026 0;-0,6318761 0,8141026 0,2617317;255 165 0
-0,6839378 0,8141026 0;-0,6318761 0,8141026 0,2617317;-0,6127284 -0,7628205 0,2538004;255 165 0
-0,6839378 0,8141026 0;-0,6632124 -0,7628205 0;-0,6127284 -0,7628205 0,2538004;255 165 0
-0,6632124 -0,7628205 0;-0,6127284 -0,7628205 0,2538004;0 -0,7628205 0;255 165 0
-0,6632124 -0,7628205 0;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,483617 0,8141026 0,483617;255 165 0
0 0,8076923 0;-0,6318761 0,8141026 0,2617317;-0,483617 0,8141026 0,483617;255 165 0
-0,6318761 0,8141026 0,2617317;-0,483617 0,8141026 0,483617;-0,468962 -0,7628205 0,468962;255 165 0
-0,6318761 0,8141026 0,2617317;-0,6127284 -0,7628205 0,2538004;-0,468962 -0,7628205 0,468962;255 165 0
-0,6127284 -0,7628205 0,2538004;-0,468962 -0,7628205 0,468962;0 -0,7628205 0;255 165 0
-0,6127284 -0,7628205 0,2538004;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,2617317 0,8141026 0,6318761;255 165 0
0 0,8076923 0;-0,483617 0,8141026 0,483617;-0,2617317 0,8141026 0,6318761;255 165 0
-0,483617 0,8141026 0,483617;-0,2617317 0,8141026 0,6318761;-0,2538004 -0,7628205 0,6127284;255 165 0
-0,483617 0,8141026 0,483617;-0,468962 -0,7628205 0,468962;-0,2538004 -0,7628205 0,6127284;255 165 0
-0,468962 -0,7628205 0,468962;-0,2538004 -0,7628205 0,6127284;0 -0,7628205 0;255 165 0
-0,468962 -0,7628205 0,468962;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;2,989587E-08 0,8141026 0,6839378;255 165 0
0 0,8076923 0;-0,2617317 0,8141026 0,6318761;2,989587E-08 0,8141026 0,6839378;255 165 0
-0,2617317 0,8141026 0,6318761;2,989587E-08 0,8141026 0,6839378;2,898994E-08 -0,7628205 0,6632124;255 165 0
-0,2617317 0,8141026 0,6318761;-0,2538004 -0,7628205 0,6127284;2,898994E-08 -0,7628205 0,6632124;255 165 0
-0,2538004 -0,7628205 0,6127284;2,898994E-08 -0,7628205 0,6632124;0 -0,7628205 0;255 165 0
-0,2538004 -0,7628205 0,6127284;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;0,2617316 0,8141026 0,6318762;255 165 0
0 0,8076923 0;2,989587E-08 0,8141026 0,6839378;0,2617316 0,8141026 0,6318762;255 165 0
2,989587E-08 0,8141026 0,6839378;0,2617316 0,8141026 0,6318762;0,2538004 -0,7628205 0,6127284;255 165 0
2,989587E-08 0,8141026 0,6839378;2,898994E-08 -0,7628205 0,6632124;0,2538004 -0,7628205 0,6127284;255 165 0
2,898994E-08 -0,7628205 0,6632124;0,2538004 -0,7628205 0,6127284;0 -0,7628205 0;255 165 0
2,898994E-08 -0,7628205 0,6632124;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;0,483617 0,8141026 0,483617;255 165 0
0 0,8076923 0;0,2617316 0,8141026 0,6318762;0,483617 0,8141026 0,483617;255 165 0
0,2617316 0,8141026 0,6318762;0,483617 0,8141026 0,483617;0,468962 -0,7628205 0,468962;255 165 0
0,2617316 0,8141026 0,6318762;0,2538004 -0,7628205 0,6127284;0,468962 -0,7628205 0,468962;255 165 0
