1;2
0 0 2;0 0 0;1 1 1;1 1 1
0 0,8076923 0;0 0,8076923 0;2,989587E-08 0,8141026 0,6839378;255 165 0
0 0,8076923 0;-0,6839378 0,8141026 0;2,989587E-08 0,8141026 0,6839378;255 165 0
-0,6839378 0,8141026 0;2,989587E-08 0,8141026 0,6839378;2,898994E-08 -0,7628205 0,6632124;255 165 0
-0,6839378 0,8141026 0;-0,6632124 -0,7628205 0;2,898994E-08 -0,7628205 0,6632124;255 165 0
-0,6632124 -0,7628205 0;2,898994E-08 -0,7628205 0,6632124;0 -0,7628205 0;255 165 0
-0,6632124 -0,7628205 0;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;0,6839378 0,8141026 -5,979174E-08;255 165 0
0 0,8076923 0;2,989587E-08 0,8141026 0,6839378;0,6839378 0,8141026 -5,979174E-08;255 165 0
2,989587E-08 0,8141026 0,6839378;0,6839378 0,8141026 -5,979174E-08;0,6632124 -0,7628205 -5,797987E-08;255 165 0
2,989587E-08 0,8141026 0,6839378;2,898994E-08 -0,7628205 0,6632124;0,6632124 -0,7628205 -5,797987E-08;255 165 0
2,898994E-08 -0,7628205 0,6632124;0,6632124 -0,7628205 -5,797987E-08;0 -0,7628205 0;255 165 0
2,898994E-08 -0,7628205 0,6632124;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-8,155877E-09 0,8141026 -0,6839378;255 165 0
0 0,8076923 0;0,6839378 0,8141026 -5,979174E-08;-8,155877E-09 0,8141026 -0,6839378;255 165 0
0,6839378 0,8141026 -5,979174E-08;-8,155877E-09 0,8141026 -0,6839378;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
0,6839378 0,8141026 -5,979174E-08;0,6632124 -0,7628205 -5,797987E-08;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
0,6632124 -0,7628205 -5,797987E-08;-7,908729E-09 -0,7628205 -0,6632124;0 -0,7628205 0;255 165 0
0,6632124 -0,7628205 -5,797987E-08;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-8,155877E-09 0,8141026 -0,6839378;255 165 0
0 0,8076923 0;-0,6839378 0,8141026 0;-8,155877E-09 0,8141026 -0,6839378;255 165 0
-0,6839378 0,8141026 0;-8,155877E-09 0,8141026 -0,6839378;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
-0,6839378 0,8141026 0;-0,6632124 -0,7628205 0;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
-0,6632124 -0,7628205 0;-7,908729E-09 -0,7628205 -0,6632124;0 -0,7628205 0;255 165 0
-0,6632124 -0,7628205 0;0 -0,7628205 0;0 -0,7628205 0;255 165 0
